Comente,texto_sem_emojis,texto_sem_emojis_limpo
@_carla.maiara_ Logo nos últimos dias do ano. Obrigado @nubank 👏👏👏,@_carla.maiara_ Logo nos últimos dias do ano. Obrigado @nubank clapping_handsclapping_handsclapping_hands,carlamaiara ogo nos últimos dias do ano brigado nubank clappinghandsclappinghandsclappinghands
Eu também não estou conseguindo acessar.,Eu também não estou conseguindo acessar.,u também não estou conseguindo acessar
Mais alguém com a conta bloqueada?,Mais alguém com a conta bloqueada?,ais alguém com a conta bloqueada
"@nubank informações detalhadas : “conta bloqueada por motivo de segurança” , resposta do suporte sobre necessitar usar o dinheiro depositado em conta “se vira”","@nubank informações detalhadas : “conta bloqueada por motivo de segurança” , resposta do suporte sobre necessitar usar o dinheiro depositado em conta “se vira”",nubank informações detalhadas conta bloqueada por motivo de segurança resposta do suporte sobre necessitar usar o dinheiro depositado em conta se vira
Então não é só eu que não consegue acessar a conta!,Então não é só eu que não consegue acessar a conta!,ntão não é só eu que não consegue acessar a conta
Eu fiz um Pix e não caiu até agora na conta que era pra cai mais alguém ?,Eu fiz um Pix e não caiu até agora na conta que era pra cai mais alguém ?,u fiz um ix e não caiu até agora na conta que era pra cai mais alguém
"O meu tá assim tem uns 4 dias, não consigo acessar, não sei mais o que fazer","O meu tá assim tem uns 4 dias, não consigo acessar, não sei mais o que fazer",meu tá assim tem uns dias não consigo acessar não sei mais o que fazer
@nubank vou fazer,@nubank vou fazer,nubank vou fazer
quando vcs vão atualizar o meu app???,quando vcs vão atualizar o meu app???,quando vcs vão atualizar o meu app
@nubank Esse número está incorreto. Tem outro local para falarmos?,@nubank Esse número está incorreto. Tem outro local para falarmos?,nubank sse número está incorreto em outro local para falarmos
"@nubank desde cedo não estou conseguindo entrar no aplicativo, só dando erro","@nubank desde cedo não estou conseguindo entrar no aplicativo, só dando erro",nubank desde cedo não estou conseguindo entrar no aplicativo só dando erro
@carlosrodrigues2105 o aplicativo está atualizado,@carlosrodrigues2105 o aplicativo está atualizado,carlosrodrigues o aplicativo está atualizado
@carlosrodrigues2105 @nubank JÁ FIZ OS PROCEDIMENTOS E NÃO ESTOU CONSEGUINDO ENTRAR NO APLICATIVO,@carlosrodrigues2105 @nubank JÁ FIZ OS PROCEDIMENTOS E NÃO ESTOU CONSEGUINDO ENTRAR NO APLICATIVO,carlosrodrigues nubank Á Ã
@nubank depois de diversas tentativas quando vão me estornar meus 400$ ??????,@nubank depois de diversas tentativas quando vão me estornar meus 400$ ??????,nubank depois de diversas tentativas quando vão me estornar meus
Minha conta nn ta abrindo,Minha conta nn ta abrindo,inha conta nn ta abrindo
😢😢,crying_facecrying_face,cryingfacecryingface
"@nubank reportando desde o dia 12/12 , só me estornam o que já paguei , um acordo de vocês , porém o dinheiro que entra é o que já paguei 😡","@nubank reportando desde o dia 12/12 , só me estornam o que já paguei , um acordo de vocês , porém o dinheiro que entra é o que já paguei enraged_face",nubank reportando desde o dia só me estornam o que já paguei um acordo de vocês porém o dinheiro que entra é o que já paguei enragedface
Não estou conseguindo acessar o app desde a manhã😮,Não estou conseguindo acessar o app desde a manhãface_with_open_mouth,ão estou conseguindo acessar o app desde a manhãfacewithopenmouth
Aplicativo de novo com problema 😢😢😢😢,Aplicativo de novo com problema crying_facecrying_facecrying_facecrying_face,plicativo de novo com problema cryingfacecryingfacecryingfacecryingface
@nubank mais ??,@nubank mais ??,nubank mais
@nubank o que está acontecendo com o aplicativo da nubank não estou conseguindo entrar no app,@nubank o que está acontecendo com o aplicativo da nubank não estou conseguindo entrar no app,nubank o que está acontecendo com o aplicativo da nubank não estou conseguindo entrar no app
@gatiere eu tbm,@gatiere eu tbm,gatiere eu tbm
@nubank JÁ FIZ ISSO NÃO ESTOU CONSEGUINDO ENTRAR,@nubank JÁ FIZ ISSO NÃO ESTOU CONSEGUINDO ENTRAR,nubank Á Ã
@nubank quais canais de atendimento??,@nubank quais canais de atendimento??,nubank quais canais de atendimento
"Não estou conseguindo acessar o app, aparece carregando apenas...","Não estou conseguindo acessar o app, aparece carregando apenas...",ão estou conseguindo acessar o app aparece carregando apenas
@gatiere também não,@gatiere também não,gatiere também não
Vdd o meu também está assim,Vdd o meu também está assim,dd o meu também está assim
Meu APP não está funcionando,Meu APP não está funcionando,eu não está funcionando
ta fora do ar?,ta fora do ar?,ta fora do ar
Não consigo entrar na minha conta. Desinstalei o app e instalei novamente...fala que vai mandar o código por email pra autorizar o celular mas essa senha nunca chega. Preciso entrar na minha conta,Não consigo entrar na minha conta. Desinstalei o app e instalei novamente...fala que vai mandar o código por email pra autorizar o celular mas essa senha nunca chega. Preciso entrar na minha conta,ão consigo entrar na minha conta esinstalei o app e instalei novamentefala que vai mandar o código por email pra autorizar o celular mas essa senha nunca chega reciso entrar na minha conta
Nubank não está acessando dando erro,Nubank não está acessando dando erro,ubank não está acessando dando erro
Tive que desinstalar e instalar novamente para funcionar.,Tive que desinstalar e instalar novamente para funcionar.,ive que desinstalar e instalar novamente para funcionar
"@gatiere 8 dias que estou nessa e eles não resolveram. A resposta é sempre a mesma: instabilidade ""vulgo"" bloqueio","@gatiere 8 dias que estou nessa e eles não resolveram. A resposta é sempre a mesma: instabilidade ""vulgo"" bloqueio",gatiere dias que estou nessa e eles não resolveram resposta é sempre a mesma instabilidade vulgo bloqueio
Exatamente!!! Eles buscam culpados. Já fiz o que eles pedem milhões de vezes. Resolver que é bom nada!! @nubank 1° lugar em deixar os clientes na mão.,Exatamente!!! Eles buscam culpados. Já fiz o que eles pedem milhões de vezes. Resolver que é bom nada!! @nubank 1° lugar em deixar os clientes na mão.,xatamente les buscam culpados á fiz o que eles pedem milhões de vezes esolver que é bom nada nubank lugar em deixar os clientes na mão
"@luizhenriquelara Amanhã completo 9 dias sem acesso ao app por esses mesmos motivos. Eles pedem pra ligar nesses números, mas não resolvem nada, nos fazem de 🤡","@luizhenriquelara Amanhã completo 9 dias sem acesso ao app por esses mesmos motivos. Eles pedem pra ligar nesses números, mas não resolvem nada, nos fazem de clown_face",luizhenriquelara manhã completo dias sem acesso ao app por esses mesmos motivos les pedem pra ligar nesses números mas não resolvem nada nos fazem de clownface
app caiu vei 😃😃😃,app caiu vei grinning_face_with_big_eyesgrinning_face_with_big_eyesgrinning_face_with_big_eyes,app caiu vei grinningfacewithbigeyesgrinningfacewithbigeyesgrinningfacewithbigeyes
@nubank quando rola com todo mundi é meio complicado,@nubank quando rola com todo mundi é meio complicado,nubank quando rola com todo mundi é meio complicado
Meu saiu fora agora. E deram a mesma resposta instabilidade.,Meu saiu fora agora. E deram a mesma resposta instabilidade.,eu saiu fora agora deram a mesma resposta instabilidade
@_carla.maiara_ O meu só resolveu depois que desinstalei e instalei novamente.,@_carla.maiara_ O meu só resolveu depois que desinstalei e instalei novamente.,carlamaiara meu só resolveu depois que desinstalei e instalei novamente
Está fora do ar?,Está fora do ar?,stá fora do ar
"@nubank esse aplicativo não vai mais voltar, desde de manhã fora do ar","@nubank esse aplicativo não vai mais voltar, desde de manhã fora do ar",nubank esse aplicativo não vai mais voltar desde de manhã fora do ar
O livro de Eli,O livro de Eli,livro de li
@fabi_cabral_1 😍obg❤️,@fabi_cabral_1 smiling_face_with_heart-eyesobgred_heart,fabicabral smilingfacewithhearteyesobgredheart
Da próxima vez faz com séries rsrs,Da próxima vez faz com séries rsrs,a próxima vez faz com séries rsrs
@juannita_ju serie*,@juannita_ju serie*,juannitaju serie
@dihlioliver eu vi que muitos colocaram😂😂😂,@dihlioliver eu vi que muitos colocaramface_with_tears_of_joyface_with_tears_of_joyface_with_tears_of_joy,dihlioliver eu vi que muitos colocaramfacewithtearsofjoyfacewithtearsofjoyfacewithtearsofjoy
@letticia_soousa nunca,@letticia_soousa nunca,letticiasoousa nunca
👍🏾👍🏾,thumbs_up_medium-dark_skin_tonethumbs_up_medium-dark_skin_tone,thumbsupmediumdarkskintonethumbsupmediumdarkskintone
Dirty Dance🤩🤩,Dirty Dancestar-struckstar-struck,irty ancestarstruckstarstruck
Um olhar no paraíso 🤩🤩🤩,Um olhar no paraíso star-struckstar-struckstar-struck,m olhar no paraíso starstruckstarstruckstarstruck
Essa é uma série  pássaros  ferido,Essa é uma série  pássaros  ferido,ssa é uma série pássaros ferido
@juannita_ju mas são ótimos também 😍,@juannita_ju mas são ótimos também smiling_face_with_heart-eyes,juannitaju mas são ótimos também smilingfacewithhearteyes
"Nubank é incrivel. nunca deixei de pagar fatura, nao tenho divida nenhuma, meu score na serasa é excelente, mas que limite baixo é esse ? estou esperando uma mensagem do Nubank: seu cartão foi cancelado","Nubank é incrivel. nunca deixei de pagar fatura, nao tenho divida nenhuma, meu score na serasa é excelente, mas que limite baixo é esse ? estou esperando uma mensagem do Nubank: seu cartão foi cancelado",ubank é incrivel nunca deixei de pagar fatura nao tenho divida nenhuma meu score na serasa é excelente mas que limite baixo é esse estou esperando uma mensagem do ubank seu cartão foi cancelado
😢 me id ll😍.... cyg bom.o,crying_face me id llsmiling_face_with_heart-eyes.... cyg bom.o,cryingface me id llsmilingfacewithhearteyes cyg bomo
"@austinj.37 fiz uma conta tem um mês eu acho, o cartão não chegou em casa (errei coloquei o endereço escrito errado) aí mudei e disseram que iam entregar até dia 23 de janeiro, não chegou e o banco cancelou meu cartão kkkkkk paguei a fatura do que usei pela Net , tenho 200 de limite pra usar mas não passa ,não consigo comprar nada pela internet, tô só esperando fechar a fatura de fevereiro pra eu pagar e cancelar a conta.","@austinj.37 fiz uma conta tem um mês eu acho, o cartão não chegou em casa (errei coloquei o endereço escrito errado) aí mudei e disseram que iam entregar até dia 23 de janeiro, não chegou e o banco cancelou meu cartão kkkkkk paguei a fatura do que usei pela Net , tenho 200 de limite pra usar mas não passa ,não consigo comprar nada pela internet, tô só esperando fechar a fatura de fevereiro pra eu pagar e cancelar a conta.",austinj fiz uma conta tem um mês eu acho o cartão não chegou em casa errei coloquei o endereço escrito errado aí mudei e disseram que iam entregar até dia de janeiro não chegou e o banco cancelou meu cartão kkkkkk paguei a fatura do que usei pela et tenho de limite pra usar mas não passa não consigo comprar nada pela internet tô só esperando fechar a fatura de fevereiro pra eu pagar e cancelar a conta
"Pior foi eu que abri uma conta com eles tem um mês , eu nem percebi que havia colocado o endereço errado, logo que vi que não conseguiram entregar eu arrumei , aí disse que iam entregar até dia 23 de janeiro, quando chegou perto da data cancelaram o cartão 😂 e ele nem chegou pra mim. Vou pagar a fatura de fevereiro e já cancelar","Pior foi eu que abri uma conta com eles tem um mês , eu nem percebi que havia colocado o endereço errado, logo que vi que não conseguiram entregar eu arrumei , aí disse que iam entregar até dia 23 de janeiro, quando chegou perto da data cancelaram o cartão face_with_tears_of_joy e ele nem chegou pra mim. Vou pagar a fatura de fevereiro e já cancelar",ior foi eu que abri uma conta com eles tem um mês eu nem percebi que havia colocado o endereço errado logo que vi que não conseguiram entregar eu arrumei aí disse que iam entregar até dia de janeiro quando chegou perto da data cancelaram o cartão facewithtearsofjoy e ele nem chegou pra mim ou pagar a fatura de fevereiro e já cancelar
"Tira teu dinheiro de lá! Minha conta foi cancelada hoje, tenho ela desde de 2018, não falam do meu dinheiro em conta, o dinheiro que fica nas caixinhas eles simplesmente falam que não devolvem!","Tira teu dinheiro de lá! Minha conta foi cancelada hoje, tenho ela desde de 2018, não falam do meu dinheiro em conta, o dinheiro que fica nas caixinhas eles simplesmente falam que não devolvem!",ira teu dinheiro de lá inha conta foi cancelada hoje tenho ela desde de não falam do meu dinheiro em conta o dinheiro que fica nas caixinhas eles simplesmente falam que não devolvem
